,x,y,sigma
0,0.0,10.705431927404454,0.9008005511629644
1,0.3448275862068966,9.006372289011807,0.9632052731423255
2,0.6896551724137931,7.746127874163447,0.8039742920055428
3,1.0344827586206897,6.870925577118712,0.9992739686486372
4,1.3793103448275863,5.657807071491058,0.6862202445958336
5,1.7241379310344829,4.796934119637426,0.8318264953981693
6,2.0689655172413794,4.287974298140494,0.7624680591128006
7,2.413793103448276,3.655855973249084,0.9540433941553588
8,2.7586206896551726,3.3707572251246125,0.8467150240066412
9,3.1034482758620694,3.0139653285697436,0.8637993219223334
10,3.4482758620689657,2.4488597212618717,0.750597427424613
11,3.793103448275862,2.245793593281786,0.9208053156958889
12,4.137931034482759,2.2101428219015595,0.9804863119355999
13,4.482758620689656,1.8032839972014119,0.8294242785070072
14,4.827586206896552,1.5107663625028196,0.8656836716017413
15,5.172413793103448,1.6535295615081866,0.8117013695689852
16,5.517241379310345,1.5659357693677989,0.8646387920496819
17,5.862068965517242,1.4875770642897754,0.954079523210411
18,6.206896551724139,1.2877783257207256,0.5603516689382062
19,6.551724137931035,1.2808125113965103,0.8301255136559264
20,6.8965517241379315,1.056582152417101,0.6626840417872784
21,7.241379310344828,1.1229767260078858,0.7427035987524795
22,7.586206896551724,1.120246544107849,0.8447127775424839
23,7.931034482758621,0.802999639723616,0.6542433303071491
24,8.275862068965518,1.0250085883413895,0.9505969479168527
25,8.620689655172415,1.049951467205354,0.6666389218962658
26,8.965517241379311,0.789111358897535,0.7853088012418661
27,9.310344827586208,0.7912748694029502,0.941820215204351
28,9.655172413793103,0.8843386457559995,0.515268756391214
29,10.0,0.8771179446840293,0.8701390654503736
